"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"326","Mrs","0","40","2","0","0","0","Adult","Female","A"
"128","Mr","0","47","1","0","0","0","Adult","Male","B"
"907","Mr","1","30","3","0","0","4","Adult","Male","E"
"570","Miss","0","58","2","1","0","2","Adult","Female","B"
"693","Mr","0","43","2","0","0","0","Adult","Male","A"
"104","Mr","0","55","1","0","0","0","Adult","Male","D"
"313","Mr","1","33","2","0","0","0","Adult","Male","B"
"661","Nobleman","0","0.83","2","0","2","4","Child","Male","R"
"114","Mr","1","50","1","0","0","0","Adult","Male","B"
"1202","Mr","0","40","3","0","0","0","Adult","Male","E"
"6","Miss","0","15","1","0","2","5","Child","Female","B"
"498","Mrs","0","65","2","0","0","0","Adult","Female","E"
"613","Miss","1","7","2","4","2","7","Child","Female","B"
"1196","Mr","1","30","3","0","0","0","Adult","Male","E"
"351","Mr","0","32","2","0","0","0","Adult","Male","B"
"112","Mrs","0","35","1","2","1","4","Adult","Female","A"
"653","Mr","1","38","2","0","0","7","Adult","Male","A"
"764","Nobleman","0","0.2","2","0","1","2","Child","Male","D"
"271","Mr","0","45","1","0","0","0","Adult","Male","E"
"488","Nobleman","0","11","2","0","0","2","Child","Male","B"
"190","Mrs","0","31","1","0","0","0","Adult","Female","D"
"550","Mrs","0","38","2","0","1","2","Adult","Female","B"
"377","Miss","0","59","2","0","0","0","Adult","Female","D"
"1077","Mr","1","43","3","0","0","0","Adult","Male","B"
"932","Mr","0","42","3","0","0","0","Adult","Male","B"
"76","Mr","0","62","1","0","0","0","Adult","Male","D"
"257","Mrs","0","60","1","0","0","0","Adult","Female","D"
"249","Mrs","0","64","1","0","0","4","Adult","Female","D"
"840","Mrs","0","26","2","1","0","2","Adult","Female","C"
"734","Mrs","1","28","2","0","1","2","Adult","Female","D"
"1215","Mr","1","42","3","0","0","0","Adult","Male","A"
"1203","Mr","0","46","3","0","0","0","Adult","Male","B"
"113","Nobleman","1","15","1","0","0","0","Child","Male","B"
"1113","Mr","1","27","3","0","0","0","Adult","Male","B"
"1067","Miss","0","32","3","0","0","0","Adult","Female","A"
"564","Miss","0","40","2","0","0","0","Adult","Female","C"
"1022","Mr","1","18","3","0","0","0","Adult","Male","D"
"357","Mr","0","43","2","0","0","0","Adult","Male","B"
"900","Mr","0","39","3","0","0","0","Adult","Male","C"
"1200","Mr","0","22","3","0","0","0","Adult","Male","B"
"158","Miss","0","23","1","0","0","8","Adult","Female","E"
"239","Mrs","0","44","1","0","0","0","Adult","Female","D"
"78","Mr","0","23","1","0","0","0","Adult","Male","D"
"938","Mrs","0","36","3","1","1","3","Adult","Female","B"
"308","Mrs","1","26","2","0","1","2","Adult","Female","C"
"1080","Mr","0","26","3","0","0","0","Adult","Male","B"
"807","Mrs","0","38","2","0","0","0","Adult","Female","B"
"591","Mrs","0","30","2","1","0","2","Adult","Female","B"
"1174","Mr","1","37","3","0","0","0","Adult","Male","B"
"97","Mr","0","47","1","1","0","2","Adult","Male","D"
"611","Nobleman","1","7","2","4","2","7","Child","Male","B"
"20","Mr","1","34","1","1","1","3","Adult","Male","B"
"587","Miss","0","1.3","2","0","1","2","Child","Female","E"
"774","Mr","0","32","2","0","0","0","Adult","Male","A"
"155","Miss","1","15","1","0","2","4","Child","Female","B"
"497","Mr","1","36","2","0","0","0","Adult","Male","D"
"748","Mr","0","29","2","1","0","2","Adult","Male","E"
"177","Miss","0","35","1","0","0","4","Adult","Female","D"
