survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
0,2,1,40,0,0,Mrs,A,0,adult
0,1,0,47,0,0,Mr,B,0,adult
1,3,0,30,0,0,Mr,E,4,adult
0,2,1,58,1,0,Miss,F,2,adult
0,2,0,43,0,0,Mr,A,0,adult
0,1,0,55,0,0,Mr,D,0,adult
1,2,0,33,0,0,Mr,B,0,adult
0,2,0,0.83,0,2,Nobleman,T,4,child
1,1,0,50,0,0,Mr,F,0,adult
0,3,0,40,0,0,Mr,E,0,adult
0,1,1,15,0,2,Miss,B,5,child
0,2,1,65,0,0,Mrs,E,0,adult
1,2,1,7,4,2,Miss,B,7,child
1,3,0,30,0,0,Mr,E,0,adult
0,2,0,32,0,0,Mr,B,0,adult
0,1,1,35,2,1,Mrs,A,4,adult
1,2,0,38,0,0,Mr,A,7,adult
0,2,0,0.2,0,1,Nobleman,D,2,child
0,1,0,45,0,0,Mr,E,0,adult
0,2,0,11,0,0,Nobleman,B,2,child
0,1,1,31,0,0,Mrs,D,0,adult
0,2,1,38,0,1,Mrs,B,2,adult
0,2,1,59,0,0,Miss,D,0,adult
1,3,0,43,0,0,Mr,B,0,adult
0,3,0,42,0,0,Mr,B,0,adult
0,1,0,62,0,0,Mr,D,0,adult
0,1,1,60,0,0,Mrs,D,0,adult
0,1,1,64,0,0,Mrs,D,4,adult
0,2,1,26,1,0,Mrs,C,2,adult
1,2,1,28,0,1,Mrs,D,2,adult
1,3,0,42,0,0,Mr,A,0,adult
0,3,0,46,0,0,Mr,B,0,adult
1,1,0,15,0,0,Nobleman,B,0,child
1,3,0,27,0,0,Mr,B,0,adult
0,3,1,32,0,0,Miss,A,0,adult
0,2,1,40,0,0,Miss,C,0,adult
1,3,0,18,0,0,Mr,D,0,adult
0,2,0,43,0,0,Mr,B,0,adult
0,3,0,39,0,0,Mr,C,0,adult
0,3,0,22,0,0,Mr,B,0,adult
0,1,1,23,0,0,Miss,E,8,adult
0,1,1,44,0,0,Mrs,D,0,adult
0,1,0,23,0,0,Mr,D,0,adult
0,3,1,36,1,1,Mrs,B,3,adult
1,2,1,26,0,1,Mrs,C,2,adult
0,3,0,26,0,0,Mr,B,0,adult
0,2,1,38,0,0,Mrs,B,0,adult
0,2,1,30,1,0,Mrs,B,2,adult
1,3,0,37,0,0,Mr,B,0,adult
0,1,0,47,1,0,Mr,D,2,adult
1,2,0,7,4,2,Nobleman,B,7,child
1,1,0,34,1,1,Mr,B,3,adult
0,2,1,1.3,0,1,Miss,E,2,child
0,2,0,32,0,0,Mr,A,0,adult
1,1,1,15,0,2,Miss,B,4,child
1,2,0,36,0,0,Mr,D,0,adult
0,2,0,29,1,0,Mr,E,2,adult
0,1,1,35,0,0,Miss,D,4,adult
0,1,0,51,0,0,Mr,A,0,adult
0,1,1,38,0,0,Miss,B,0,adult
0,2,0,31 ?,0,0,Mr,D,0,adult
0,1,0,44,0,0,Mr,B,3,adult
0,3,1,22,0,0,Mrs,D,0,adult
1,2,0,27,0,0,Mr,D,0,adult
0,1,0,58,1,0,Mr,B,2,adult
0,3,0,39,0,0,Mr,D,0,adult
1,3,0,30,1,0,Mr,B,0,adult
0,2,1,5,0,1,Miss,B,2,child
0,2,0,37,0,0,Mr,D,0,adult
1,2,0,20,0,0,Mr,C,0,adult
0,1,1,34,0,2,Mrs,D,3,adult
1,2,0,27,0,0,Mr,D,0,adult
1,1,0,41,0,0,Mr,E,2,adult
0,2,0,33,1,0,Mr,B,2,adult
1,3,0,19,1,0,Mr,D,2,adult
0,3,1,26,0,0,Miss,D,0,adult
0,3,0,32,0,0,Mr,A,0,adult
1,2,1,60,0,0,Mrs,T,0,adult
1,2,0,33,0,0,Mr,C,0,adult
0,2,1,34,0,0,Miss,B,2,adult
0,3,1,24,0,0,Miss,D,0,adult
0,3,0,44,0,0,Mr,D,0,adult
0,2,1,51,1,0,Mrs,B,2,adult
0,1,0,54,1,0,Mr,B,2,adult
0,3,0,45,0,0,Mr,A,0,adult
0,2,0,0.83,2,2,Nobleman,B,5,child
0,3,1,22,1,0,Miss,E,2,adult
0,1,0,28,0,0,Mr,B,0,adult
0,1,0,35,0,0,Mr,B,0,adult
1,2,0,21,0,0,Mr,T,0,adult
0,3,1,40,0,0,Miss,D,0,adult
0,2,0,33,1,0,Mr,B,2,adult
0,3,0,35,0,0,Mr,B,0,adult
0,2,1,26,0,0,Miss,B,0,adult
1,2,0,22,0,0,Mr,C,0,adult
0,1,1,52,0,0,Mrs,E,0,adult
1,3,0,32,0,0,Mr,B,0,adult
0,2,1,39,0,0,Miss,D,0,adult
0,3,0,30,0,0,Mr,B,0,adult
1,3,0,28,0,0,Mr,D,0,adult
1,2,0,40,0,0,Mr,B,0,adult
0,2,1,27,0,0,Mrs,B,0,adult
0,3,0,4,1,1,Nobleman,E,3,child
1,1,0,36,0,0,Mr,B,0,adult
0,1,0,26,0,0,Mr,D,0,adult
0,2,1,33,1,1,Mrs,B,3,adult
1,2,1,49,1,0,Mrs,C,2,adult
0,3,0,22,0,0,Mr,B,0,adult
1,3,0,33,0,0,Mr,B,0,adult
0,2,0,47,0,0,Mr,D,0,adult
0,3,0,50,1,0,Mr,D,2,adult
0,2,1,0.2,0,1,Miss,D,2,child
1,3,1,40,2,2,Mrs,D,5,adult
1,2,1,33,0,0,Mrs,D,0,adult
