survived,pclass,sex,age,sibsp,parch,fare,embarked,title,deck,family_size,family_sizeC,Child
1,1,female,29,0,0,211.3375,S,Miss,B,0,Single,Adult
1,1,male,0.9167,1,2,151.55,S,Nobleman,C,3,Small,Child
0,1,female,2,1,2,151.55,S,Miss,C,3,Small,Child
0,1,male,30,1,2,151.55,S,Mr,C,3,Small,Adult
0,1,female,25,1,2,151.55,S,Mrs,C,3,Small,Adult
1,1,male,48,0,0,26.55,S,Mr,E,0,Single,Adult
1,1,female,63,1,0,77.9583,S,Miss,D,1,Single,Adult
0,1,male,39,0,0,0,S,Mr,A,0,Single,Adult
1,1,female,53,2,0,51.4792,S,Mrs,C,2,Small,Adult
0,1,male,71,0,0,49.5042,C,Mr,C,0,Single,Adult
0,1,male,47,1,0,227.525,C,Military,C,1,Single,Adult
1,1,female,18,1,0,227.525,C,Mrs,C,1,Single,Adult
1,1,female,24,0,0,69.3,C,Miss,B,0,Single,Adult
1,1,female,26,0,0,78.85,S,Miss,E,0,Single,Adult
1,1,male,80,0,0,30,S,Mr,A,0,Single,Adult
0,1,male,42,0,0,25.925,S,Mr,C,0,Single,Adult
0,1,male,24,0,1,247.5208,C,Mr,B,1,Single,Adult
1,1,female,50,0,1,247.5208,C,Mrs,B,1,Single,Adult
1,1,female,32,0,0,76.2917,C,Miss,D,0,Single,Adult
0,1,male,36,0,0,75.2417,C,Mr,C,0,Single,Adult
1,1,male,37,1,1,52.5542,S,Mr,D,2,Small,Adult
1,1,female,47,1,1,52.5542,S,Mrs,D,2,Small,Adult
1,1,male,26,0,0,30,C,Mr,C,0,Single,Adult
1,1,female,42,0,0,227.525,C,Miss,C,0,Single,Adult
1,1,female,29,0,0,221.7792,S,Miss,C,0,Single,Adult
0,1,male,25,0,0,26,C,Mr,C,0,Single,Adult
1,1,male,25,1,0,91.0792,C,Mr,B,1,Single,Adult
1,1,female,19,1,0,91.0792,C,Mrs,B,1,Single,Adult
1,1,female,35,0,0,135.6333,S,Miss,C,0,Single,Adult
1,1,male,28,0,0,26.55,S,Mr,C,0,Single,Adult
0,1,male,45,0,0,35.5,S,Mr,T,0,Single,Adult
1,1,male,40,0,0,31,C,Mr,A,0,Single,Adult
1,1,female,30,0,0,164.8667,S,Miss,C,0,Single,Adult
1,1,female,58,0,0,26.55,S,Miss,C,0,Single,Adult
0,1,male,42,0,0,26.55,S,Mr,D,0,Single,Adult
1,1,female,45,0,0,262.375,C,Miss,C,0,Single,Adult
1,1,female,22,0,1,55,S,Miss,E,1,Single,Adult
1,1,male,30,0,0,26.55,S,Mr,C,0,Single,Adult
0,1,male,41,0,0,30.5,S,Mr,A,0,Single,Adult
0,1,male,48,0,0,50.4958,C,Mr,B,0,Single,Adult
0,1,male,39,0,0,39.6,C,Dr,A,0,Single,Adult
1,1,female,44,0,0,27.7208,C,Mrs,B,0,Single,Adult
1,1,female,59,2,0,51.4792,S,Mrs,C,2,Small,Adult
1,1,female,60,0,0,76.2917,C,Mrs,D,0,Single,Adult
1,1,female,41,0,0,134.5,C,Miss,E,0,Single,Adult
0,1,male,45,0,0,26.55,S,Military,B,0,Single,Adult
0,1,male,29,0,0,31,S,Mr,E,0,Single,Adult
1,1,male,42,0,0,26.2875,S,Mr,E,0,Single,Adult
1,1,female,53,0,0,27.4458,C,Mrs,B,0,Single,Adult
1,1,male,36,0,1,512.3292,C,Mr,B,1,Single,Adult
1,1,female,58,0,1,512.3292,C,Mrs,B,1,Single,Adult
0,1,male,33,0,0,5,S,Mr,B,0,Single,Adult
0,1,male,28,0,0,47.1,S,Mr,C,0,Single,Adult
0,1,male,17,0,0,47.1,S,Mr,C,0,Single,Child
1,1,male,11,1,2,120,S,Nobleman,B,3,Small,Child
1,1,female,14,1,2,120,S,Miss,B,3,Small,Child
1,1,male,36,1,2,120,S,Mr,B,3,Small,Adult
1,1,female,36,1,2,120,S,Mrs,B,3,Small,Adult
0,1,male,49,0,0,26,S,Mr,C,0,Single,Adult
1,1,female,55,0,0,27.7208,C,Mrs,C,0,Single,Adult
0,1,male,36,1,0,78.85,S,Mr,C,1,Single,Adult
1,1,female,76,1,0,78.85,S,Mrs,C,1,Single,Adult
0,1,male,46,1,0,61.175,S,Mr,E,1,Single,Adult
1,1,female,47,1,0,61.175,S,Mrs,E,1,Single,Adult
1,1,male,27,1,0,53.1,S,Mr,E,1,Single,Adult
1,1,female,33,1,0,53.1,S,Mrs,E,1,Single,Adult
1,1,female,36,0,0,262.375,C,Miss,B,0,Single,Adult
1,1,female,30,0,0,86.5,S,Miss,B,0,Single,Adult
1,1,male,45,0,0,29.7,C,Mr,A,0,Single,Adult
1,1,female,45,0,1,55,S,Mrs,E,1,Single,Adult
0,1,male,52,0,0,0,S,Mr,A,0,Single,Adult
0,1,male,27,1,0,136.7792,C,Mr,C,1,Single,Adult
1,1,female,26,1,0,136.7792,C,Mrs,C,1,Single,Adult
1,1,female,22,0,0,151.55,S,Miss,D,0,Single,Adult
0,1,male,45,0,0,52,S,Mr,A,0,Single,Adult
0,1,male,47,0,0,25.5875,S,Mr,E,0,Single,Adult
1,1,female,39,1,1,83.1583,C,Miss,E,2,Small,Adult
0,1,male,37,1,1,83.1583,C,Mr,E,2,Small,Adult
1,1,female,64,0,2,83.1583,C,Mrs,E,2,Small,Adult
1,1,female,55,2,0,25.7,S,Mrs,C,2,Small,Adult
0,1,male,62,0,0,26.55,S,Mr,C,0,Single,Adult
0,1,male,70,1,1,71,S,Military,B,2,Small,Adult
1,1,female,36,0,2,71,S,Miss,B,2,Small,Adult
1,1,female,64,1,1,26.55,S,Mrs,B,2,Small,Adult
0,1,male,39,1,0,71.2833,C,Mr,C,1,Single,Adult
1,1,female,38,1,0,71.2833,C,Mrs,C,1,Single,Adult
1,1,male,51,0,0,26.55,S,Mr,E,0,Single,Adult
1,1,male,27,0,0,30.5,S,Mr,C,0,Single,Adult
1,1,female,33,0,0,151.55,S,Miss,B,0,Single,Adult
0,1,male,31,1,0,52,S,Mr,B,1,Single,Adult
1,1,female,27,1,2,52,S,Mrs,B,3,Small,Adult
1,1,male,31,1,0,57,S,Mr,B,1,Single,Adult
1,1,female,17,1,0,57,S,Mrs,B,1,Single,Child
1,1,male,53,1,1,81.8583,S,Dr,A,2,Small,Adult
1,1,male,4,0,2,81.8583,S,Nobleman,A,2,Small,Child
1,1,female,54,1,1,81.8583,S,Mrs,A,2,Small,Adult
0,1,male,50,1,0,106.425,C,Mr,C,1,Single,Adult
1,1,female,27,1,1,247.5208,C,Mrs,B,2,Small,Adult
1,1,female,48,1,0,106.425,C,Mrs,C,1,Single,Adult
1,1,female,48,1,0,39.6,C,Noblewoman,A,1,Single,Adult
1,1,male,49,1,0,56.9292,C,Nobleman,A,1,Single,Adult
0,1,male,39,0,0,29.7,C,Mr,A,0,Single,Adult
1,1,female,23,0,1,83.1583,C,Mrs,C,1,Single,Adult
1,1,female,38,0,0,227.525,C,Miss,C,0,Single,Adult
1,1,female,54,1,0,78.2667,C,Miss,D,1,Single,Adult
0,1,female,36,0,0,31.6792,C,Miss,A,0,Single,Adult
0,1,male,56,0,0,221.7792,S,Mr,C,0,Single,Adult
