,survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
200,1,1,1,24,0,0,Miss,C,0,adult
634,0,3,0,20,0,0,Mr,D,0,adult
728,0,3,0,70.5,0,0,Mr,D,0,adult
1028,0,3,0,50,0,0,Mr,C,0,adult
549,1,2,0,0.8333,1,1,Nobleman,F,2,child
1043,1,3,1,14.5,1,0,Miss,D,1,child
1011,0,3,0,24,1,0,Mr,A,1,adult
1228,0,3,1,22,0,0,Miss,F,0,adult
570,0,2,0,14,0,0,Mr,F,0,child
948,1,3,1,22,0,0,Miss,C,0,adult
219,1,1,1,39,0,0,Noblewoman,C,0,adult
52,0,1,0,33,0,0,Mr,B,0,adult
675,1,3,0,32,0,0,Mr,E,0,adult
448,0,2,0,23,2,1,Mr,F,3,adult
598,1,2,0,54,0,0,Mr,C,0,adult
1017,0,3,0,18,0,0,Mr,C,0,adult
823,0,3,0,41,0,0,Mr,D,0,adult
1167,0,3,0,19,0,0,Mr,C,0,adult
121,1,1,0,43,1,0,Mr,D,1,adult
943,0,3,0,23.5,0,0,Mr,B,0,adult
737,0,3,0,59,0,0,Mr,D,0,adult
68,1,1,1,30,0,0,Miss,B,0,adult
341,1,2,1,4,2,1,Miss,F,3,child
697,0,3,1,21,0,0,Miss,E,0,adult
543,1,2,1,33,0,2,Mrs,D,2,adult
565,1,2,1,40,0,0,Miss,F,0,adult
380,1,2,1,31,1,1,Mrs,C,2,adult
963,0,3,0,40.5,1,0,Mr,F,1,adult
333,0,2,0,23,0,0,Mr,E,0,adult
588,1,2,0,2,1,1,Nobleman,F,2,child
239,1,1,1,43,0,1,Mrs,B,1,adult
34,1,1,1,58,0,0,Miss,C,0,adult
1078,1,3,1,36,0,0,Miss,F,0,adult
55,1,1,0,11,1,2,Nobleman,B,3,child
319,0,1,0,55,0,0,Mr,C,0,adult
1083,1,3,0,9,0,1,Nobleman,E,1,child
494,0,2,0,31,1,1,Mr,C,2,adult
688,0,3,1,20,0,0,Miss,F,0,adult
792,0,3,0,17,1,1,Mr,D,2,child
854,0,3,0,25,0,0,Mr,F,0,adult
785,0,3,0,23,1,0,Mr,F,1,adult
1109,0,3,0,19,0,0,Mr,F,0,adult
1146,0,3,0,8,4,1,Nobleman,C,5,child
550,1,2,0,3,1,1,Nobleman,F,2,child
269,0,1,0,24,1,0,Mr,C,1,adult
233,0,1,0,47,0,0,Mr,C,0,adult
87,1,1,0,51,0,0,Mr,E,0,adult
1048,1,3,1,15,0,0,Miss,C,0,child
1139,0,3,0,45,0,0,Mr,F,0,adult
556,0,2,0,25,0,0,Mr,F,0,adult
426,0,2,0,52,0,0,Mr,C,0,adult
1075,0,3,0,36,0,0,Mr,D,0,adult
164,1,1,1,35,1,0,Mrs,E,1,adult
740,0,3,0,44,0,1,Mr,D,1,adult
393,1,2,1,24,1,0,Mrs,C,1,adult
44,1,1,1,60,0,0,Mrs,D,0,adult
1113,0,3,1,3,1,1,Miss,D,2,child
1180,0,3,0,32,1,9,Mr,E,10,adult
8,0,1,0,39,0,0,Mr,A,0,adult
1069,0,3,0,61,0,0,Mr,A,0,adult
1020,0,3,0,24,0,0,Mr,F,0,adult
304,0,1,0,64,1,0,Mr,D,1,adult
422,0,2,0,24,0,0,Mr,F,0,adult
660,1,3,1,5,2,1,Miss,D,3,child
782,0,3,0,33,0,0,Mr,E,0,adult
611,0,3,1,40,1,0,Mrs,C,1,adult
1104,0,3,0,2,4,1,Nobleman,C,5,child
1229,1,3,0,31,0,0,Mr,B,0,adult
381,1,2,1,22,0,0,Mrs,F,0,adult
1286,0,3,0,32.5,0,0,Mr,D,0,adult
1103,0,3,0,7,4,1,Nobleman,C,5,child
110,1,1,0,36,0,0,Mr,E,0,adult
1221,0,3,0,32,0,0,Mr,F,0,adult
1102,0,3,0,1,4,1,Nobleman,E,5,child
187,1,1,1,55,0,0,Mrs,C,0,adult
825,0,3,0,38,0,0,Mr,F,0,adult
928,0,3,0,20,1,0,Mr,A,1,adult
202,0,1,0,54,0,0,Mr,E,0,adult
1236,0,3,0,74,0,0,Mr,F,0,adult
882,1,3,0,21,0,0,Mr,D,0,adult
1022,0,3,0,28,0,0,Mr,F,0,adult
198,0,1,0,19,1,0,Mr,D,1,adult
794,0,3,0,47,0,0,Mr,C,0,adult
812,0,3,1,48,1,3,Mrs,D,4,adult
356,1,2,1,36,0,0,Miss,C,0,adult
86,1,1,1,38,1,0,Mrs,C,1,adult
640,0,3,0,5,4,2,Nobleman,C,6,child
128,1,1,1,35,1,0,Mrs,C,1,adult
1193,0,3,0,24.5,0,0,Mr,F,0,adult
262,1,1,0,35,0,0,Mr,E,0,adult
1085,0,3,0,42,0,1,Mr,A,1,adult
727,0,3,1,30,0,0,Miss,C,0,adult
772,1,3,1,19,0,0,Miss,D,0,adult
890,1,3,0,26,0,0,Mr,B,0,adult
559,1,2,1,18,0,2,Miss,F,2,adult
839,0,3,0,28,2,0,Mr,B,2,adult
924,1,3,1,18,0,0,Miss,B,0,adult
510,0,2,0,39,0,0,Mr,C,0,adult
244,0,1,0,46,0,0,Mr,B,0,adult
1153,0,3,0,50,1,0,Mr,C,1,adult
1152,0,3,1,50,0,0,Mrs,E,0,adult
554,1,2,1,21,0,0,Miss,E,0,adult
1173,0,3,1,10,8,2,Miss,E,10,child
826,0,3,0,9,5,2,Nobleman,G,7,child
757,0,3,0,36.5,1,0,Mr,D,1,adult
178,1,1,0,42,1,0,Mr,D,1,adult
1160,1,3,1,25,0,0,Miss,E,0,adult
518,0,2,0,26,0,0,Mr,F,0,adult
1070,0,3,0,20,1,0,Mr,C,1,adult
142,1,1,1,45,0,1,Mrs,D,1,adult
261,1,1,1,40,0,0,Miss,C,0,adult
521,1,2,0,20,0,0,Mr,D,0,adult
537,1,2,1,32,0,0,Mrs,E,0,adult
710,1,3,1,16,0,0,Miss,E,0,child
1207,0,3,0,4,3,2,Nobleman,F,5,child
421,0,2,0,21,1,0,Mr,C,1,adult
680,0,3,1,9,1,1,Miss,G,2,child
795,1,3,1,5,0,0,Miss,F,0,child
1035,1,3,0,6,1,1,Nobleman,E,2,child
682,0,3,1,45,0,2,Mrs,G,2,adult
636,0,3,0,25,1,0,Mr,F,1,adult
874,0,3,0,42,0,0,Mr,F,0,adult
1012,0,3,1,19,1,0,Mrs,G,1,adult
932,0,3,0,19,0,0,Mr,D,0,adult
828,0,3,0,11,5,2,Nobleman,C,7,child
1223,0,3,0,33,0,0,Mr,C,0,adult
746,1,3,1,30,0,0,Miss,C,0,adult
69,1,1,0,45,0,0,Mr,A,0,adult
838,0,3,0,37,2,0,Mr,F,2,adult
309,1,1,1,55,0,0,Mrs,C,0,adult
553,0,2,0,19,0,0,Mr,F,0,adult
496,0,2,0,22,0,0,Mr,F,0,adult
1060,0,3,0,28,0,0,Mr,B,0,adult
750,0,3,1,28,1,1,Mrs,E,2,adult
903,0,3,0,25,1,2,Mr,F,3,adult
300,0,1,0,40,0,0,Nobleman,B,0,adult
54,0,1,0,17,0,0,Mr,C,0,child
733,0,3,0,30,0,0,Mr,C,0,adult
999,0,3,0,27,0,0,Mr,C,0,adult
446,0,2,1,18,1,1,Miss,F,2,adult
1127,0,3,1,28,0,0,Miss,C,0,adult
546,1,2,1,30,3,0,Mrs,F,3,adult
808,0,3,1,9,2,2,Miss,D,4,child
777,0,3,0,32,0,0,Mr,F,0,adult
312,1,1,1,45,1,1,Mrs,B,2,adult
419,0,2,0,47,0,0,Mr,F,0,adult
1196,0,3,0,61,0,0,Mr,C,0,adult
328,0,2,0,25,0,0,Mr,F,0,adult
809,0,3,0,19,0,0,Mr,A,0,adult
787,0,3,0,18,0,0,Mr,D,0,adult
473,0,2,0,57,0,0,Rev,B,0,adult
885,0,3,0,48,0,0,Mr,F,0,adult
283,1,1,1,52,1,0,Mrs,D,1,adult
154,1,1,1,24,0,0,Miss,C,0,adult
913,0,3,0,30,0,0,Mr,F,0,adult
372,1,2,1,45,0,2,Mrs,F,2,adult
934,0,3,0,26,2,0,Mr,C,2,adult
18,1,1,1,50,0,1,Mrs,B,1,adult
1295,0,3,0,28.5,0,0,Mr,C,0,adult
123,1,1,1,22,0,2,Miss,B,2,adult
430,0,2,0,44,0,0,Mr,D,0,adult
645,0,3,0,40,1,5,Mr,G,6,adult
561,1,2,1,30,0,0,Miss,C,0,adult
1092,0,3,1,20,0,0,Miss,E,0,adult
594,1,2,1,33,1,2,Mrs,C,3,adult
830,0,3,1,16,5,2,Miss,C,7,child
592,1,2,1,5,1,2,Miss,F,3,child
834,0,3,0,51,0,0,Mr,F,0,adult
265,1,1,0,56,0,0,Military,A,0,adult
1278,1,3,0,22,0,0,Mr,B,0,adult
1205,0,3,0,21,0,0,Mr,D,0,adult
63,0,1,0,46,1,0,Mr,E,1,adult
177,1,1,1,54,1,0,Mrs,D,1,adult
1178,0,3,0,19,8,2,Mr,C,10,adult
287,0,1,1,63,1,0,Mrs,C,1,adult
981,1,3,1,23,0,0,Miss,D,0,adult
945,0,3,0,22,0,0,Mr,B,0,adult
326,0,2,0,30,0,0,Mr,F,0,adult
