"","Title","Fate","Age","Department.Class","Passenger.Crew","Status","Cabin.No.","Traveling.Companions.and.other.notes","Value","Adult.Minor","Sex"
"1","Mr.","Lost","38","Band","Crew","","","",1,"Adult","Male"
"2","Mr.","Lost","37","Band","Crew","","","",1,"Adult","Male"
"3","Mr.","Saved","30","Band","Crew","","","",1,"Adult","Male"
"4","Mr.","Saved","25","Band","Crew","","","",1,"Adult","Male"
"5","Mr.","Saved","27","Band","Crew","","","",1,"Adult","Male"
"6","Mr.","Lost","48","Deck","Crew","","","",1,"Adult","Male"
"7","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"8","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"9","Mr.","Saved","24","Deck","Crew","Single","","",1,"Adult","Male"
"10","Mr.","Saved","19 ?","Deck","Crew","","","",1,"Adult","Male"
"11","Mr.","Lost","57","Deck","Crew","","","",1,"Adult","Male"
"12","Mr.","Lost","50","Deck","Crew","","","",1,"Adult","Male"
"13","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"14","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"15","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"16","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"17","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"18","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"19","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"20","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"21","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"22","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"23","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"24","Dr.","Lost","25","Deck","Crew","","","",1,"Adult","Male"
"25","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"26","Mr.","Saved","56","Deck","Crew","","","",1,"Adult","Male"
"27","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"28","Mr.","Saved","41","Deck","Crew","","","",1,"Adult","Male"
"29","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"30","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"31","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"32","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"33","Mr.","Saved","19","Deck","Crew","","","",1,"Adult","Male"
"34","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"35","Mr.","Saved","33","Deck","Crew","","","",1,"Adult","Male"
"36","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"37","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"38","Mr.","Lost","50","Deck","Crew","Widower","","",1,"Adult","Male"
"39","Mr.","Saved","29","Deck","Crew","","","",1,"Adult","Male"
"40","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"41","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"42","Dr.","Lost","38","Deck","Crew","","","",1,"Adult","Male"
"43","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"44","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"45","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"46","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"47","Mr.","Saved","18","Deck","Crew","Single","","",1,"Adult","Male"
"48","Mr.","Saved","20","Deck","Crew","Single","","",1,"Adult","Male"
"49","Mr.","Saved","21","Deck","Crew","","","",1,"Adult","Male"
"50","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"51","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"52","Mr.","Saved","26","Deck","Crew","","","",1,"Adult","Male"
"53","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"54","Mr.","Saved","","Deck","Crew","Married","","",1,"Adult","Male"
"55","Master","Lost","17","Deck","Crew","Single","","",1,"Minor","Male"
"56","Mr.","Lost","33","Deck","Crew","","","",1,"Adult","Male"
"57","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"58","Mr.","Lost","27","Deck","Crew","","","",1,"Adult","Male"
"59","Mr.","Saved","25","Deck","Crew","","","",1,"Adult","Male"
"60","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"61","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"62","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"63","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"64","Mr.","Saved","24","Deck","Crew","","","",1,"Adult","Male"
"65","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"66","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"67","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"68","Mr.","Lost","","Deck","Crew","","","",1,"Adult","Male"
"69","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
"70","Mr.","Saved","","Deck","Crew","","","",1,"Adult","Male"
