title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Mr,1,19,1,0,1,2,Adult,Male,D
Mr,0,46,1,0,1,2,Adult,Male,D
Mr,0,58,1,1,0,2,Adult,Male,B
Mrs,1,46,1,1,0,2,Adult,Female,B
Noblewoman,1,42,1,0,2,5,Adult,Female,B
Miss,0,15,1,0,2,5,Child,Female,B
Miss,0,16,1,1,1,5,Child,Female,B
Miss,0,26,1,0,0,5,Adult,Female,D
Mr,1,50,1,0,0,0,Adult,Male,B
Mr,1,45,1,0,0,0,Adult,Male,A
Mr,1,50,1,0,0,0,Adult,Male,B
Miss,0,27,1,0,0,2,Adult,Female,B
Mr,0,48,1,1,0,2,Adult,Male,A
Mrs,0,38,1,1,0,2,Adult,Female,A
Mr,1,43,1,0,0,0,Adult,Male,B
Mr,1,42,1,1,0,2,Adult,Male,D
Mrs,1,31,1,1,0,2,Adult,Female,D
Mr,0,32,1,0,0,0,Adult,Male,E
Mr,1,40,1,0,0,0,Adult,Male,A
Mr,1,34,1,1,1,3,Adult,Male,B
Mr,1,27,1,0,0,0,Adult,Male,E
Mr,0,54,1,1,0,2,Adult,Male,B
Mrs,1,50,1,1,0,2,Adult,Female,B
Mr,0,33,1,0,0,0,Adult,Male,E
Mr,0,39,1,0,0,0,Adult,Male,D
Mr,0,50,1,0,0,0,Adult,Male,D
Mr,1,38,1,0,0,0,Adult,Male,E
Mr,1,23,1,0,0,3,Adult,Male,A
Mrs,0,47,1,0,0,3,Adult,Female,B
Mr,1,44,1,0,0,0,Adult,Male,B
Miss,0,24,1,0,0,0,Adult,Female,D
Miss,1,23,1,0,0,2,Adult,Female,D
Mr,0,28,1,0,0,0,Adult,Male,B
Mr,0,63,1,0,0,0,Adult,Male,B
Mr,1,41,1,0,0,0,Adult,Male,E
Mr,0,34,1,0,0,0,Adult,Male,D
Mrs,0,55,1,0,2,3,Adult,Female,D
Mr,0,45,1,0,1,2,Adult,Male,A
Mrs,0,45,1,0,1,2,Adult,Female,A
